ASV,size,cutoff,phylum_name,class_name,order_name,family_name,genus_name,species_name,phylum_score,class_score,order_score,family_score,genus_score,species_score
uniq144600,16,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,NA,1,0.65,0.56,0.55,0.44,0.14
uniq144846,16,+,Streptophyta,NA,Lamiales,Lamiaceae,Chelonopsis,Schaueria humuliflora,1,0.98,0.94,0.4,0.07,0.05
uniq144675,16,+,Streptophyta,NA,Malvales,Malvaceae,Ceiba,NA,1,1,1,1,1,0.39
uniq144660,16,+,Streptophyta,NA,Lamiales,Bignoniaceae,Tanaecium,Tanaecium bilabiatum,1,0.99,0.99,0.61,0.46,0.46
uniq144533,16,+,Streptophyta,NA,Fabales,Fabaceae,Phanera,Phanera glabra,1,0.98,0.86,0.86,0.83,0.59
uniq144480,16,+,Streptophyta,NA,Malpighiales,Euphorbiaceae,Croton,NA,1,0.99,0.99,0.99,0.99,0.38
uniq144792,16,+,Streptophyta,NA,Sapindales,Sapindaceae,Serjania,Serjania triquetra,1,1,1,1,0.97,0.94
uniq144633,16,+,Streptophyta,NA,Laurales,Lauraceae,Damburneya,Damburneya coriacea,1,0.9,0.9,0.9,0.27,0.25
uniq144715,16,+,Streptophyta,NA,Boraginales,Cordiaceae,Cordia,Cordia dentata,1,0.94,0.76,0.67,0.67,0.54
uniq145312,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Cololejeunea,Riccia huebeneriana,0.93,0.39,0.11,0.1,0.06,0.04
uniq145266,16,+,Streptophyta,NA,Malpighiales,Salicaceae,Casearia,NA,1,0.8,0.44,0.39,0.26,0.26
uniq145091,16,+,Streptophyta,NA,Lamiales,Bignoniaceae,Handroanthus,Handroanthus aureus,1,0.97,0.9,0.6,0.3,0.21
uniq144166,17,+,Streptophyta,NA,Asterales,Asteraceae,Tripleurospermum,NA,1,1,1,1,0.83,0.52
uniq144697,16,+,Streptophyta,NA,Asterales,Asteraceae,Piptocarpha,Piptocarpha oblonga,1,1,0.99,0.99,0.98,0.98
uniq145383,16,+,Streptophyta,NA,Lamiales,Bignoniaceae,Handroanthus,Handroanthus impetiginosus,1,1,0.98,0.94,0.87,0.83
uniq145276,16,+,Streptophyta,NA,Fabales,Fabaceae,Mimosa,Mimosa scabrella,1,1,1,1,0.97,0.77
uniq145605,16,+,Streptophyta,NA,Rosales,Urticaceae,Girardinia,Girardinia diversifolia,0.9,0.62,0.13,0.13,0.13,0.13
uniq145165,16,+,Streptophyta,NA,Cornales,Loasaceae,Gronovia,Gronovia scandens,1,1,0.96,0.96,0.96,0.96
uniq145355,16,+,Streptophyta,NA,Asterales,Asteraceae,Chromolaena,Chromolaena borinquensis,1,0.99,0.97,0.97,0.61,0.32
uniq144931,16,+,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Tristaniopsis,Tristaniopsis laurina,1,0.5,0.5,0.5,0.49,0.49
uniq145142,16,+,Streptophyta,NA,Solanales,Solanaceae,Capsicum,Capsicum eximium,0.97,0.87,0.39,0.38,0.25,0.18
uniq145426,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,NA,0.94,0.41,0.16,0.14,0.05,0.03
uniq144950,16,+,Streptophyta,NA,Sapindales,Burseraceae,Bursera,NA,1,1,1,1,1,0.3
uniq145130,16,+,Streptophyta,NA,Asparagales,Lejeuneaceae,Nitella,Nitella gracillima,0.95,0.34,0.12,0.1,0.05,0.04
uniq145649,16,+,Streptophyta,NA,Asparagales,Orchidaceae,Trebouxia,Ricinus communis,0.8,0.46,0.09,0.07,0.05,0.03
uniq145593,16,+,Streptophyta,NA,Fabales,Fabaceae,Lonchocarpus,NA,1,1,1,1,1,0.83
uniq145498,16,+,Streptophyta,NA,Saxifragales,Saxifragaceae,Tetradesmus,NA,0.9,0.58,0.12,0.1,0.06,0.06
uniq145417,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Lejeunea,NA,0.97,0.38,0.14,0.13,0.05,0.03
uniq144983,16,+,Streptophyta,NA,Fabales,Fabaceae,Lithachne,Lithachne horizontalis,0.93,0.55,0.13,0.13,0.05,0.05
